State,Date,Weekly COVID-19 Hospital Admissions
Virginia,Mar  2 2024,483
Virginia,Feb 24 2024,586
Virginia,Feb 17 2024,598
Virginia,Feb 10 2024,570
Virginia,Feb  3 2024,588
Virginia,Jan 27 2024,622
Virginia,Jan 20 2024,686
Virginia,Jan 13 2024,889
Virginia,Jan  6 2024,998
Virginia,Dec 30 2023,1014
Virginia,Dec 23 2023,790
Virginia,Dec 16 2023,653
Virginia,Dec  9 2023,599
Virginia,Dec  2 2023,609
Virginia,Nov 25 2023,487
Virginia,Nov 18 2023,449
Virginia,Nov 11 2023,465
Virginia,Nov  4 2023,381
Virginia,Oct 28 2023,453
Virginia,Oct 21 2023,455
Virginia,Oct 14 2023,411
Virginia,Oct  7 2023,424
Virginia,Sep 30 2023,443
Virginia,Sep 23 2023,463
Virginia,Sep 16 2023,444
Virginia,Sep  9 2023,478
Virginia,Sep  2 2023,377
Virginia,Aug 26 2023,360
Virginia,Aug 19 2023,301
Virginia,Aug 12 2023,236
Virginia,Aug  5 2023,166
Virginia,Jul 29 2023,146
Virginia,Jul 22 2023,123
Virginia,Jul 15 2023,122
Virginia,Jul  8 2023,125
Virginia,Jul  1 2023,122
Virginia,Jun 24 2023,121
Virginia,Jun 17 2023,121
Virginia,Jun 10 2023,83
Virginia,Jun  3 2023,117
Virginia,May 27 2023,87
Virginia,May 20 2023,112
Virginia,May 13 2023,130
Virginia,May  6 2023,125
Virginia,Apr 29 2023,114
Virginia,Apr 22 2023,178
Virginia,Apr 15 2023,182
Virginia,Apr  8 2023,215
Virginia,Apr  1 2023,238
Virginia,Mar 25 2023,245
Virginia,Mar 18 2023,301
Virginia,Mar 11 2023,374
Virginia,Mar  4 2023,411
Virginia,Feb 25 2023,473
Virginia,Feb 18 2023,559
Virginia,Feb 11 2023,682
Virginia,Feb  4 2023,705
Virginia,Jan 28 2023,758
Virginia,Jan 21 2023,891
Virginia,Jan 14 2023,1004
Virginia,Jan  7 2023,1244
Virginia,Dec 31 2022,1238
Virginia,Dec 24 2022,867
Virginia,Dec 17 2022,867
Virginia,Dec 10 2022,681
Virginia,Dec  3 2022,605
Virginia,Nov 26 2022,435
Virginia,Nov 19 2022,482
Virginia,Nov 12 2022,539
Virginia,Nov  5 2022,562
Virginia,Oct 29 2022,484
Virginia,Oct 22 2022,462
Virginia,Oct 15 2022,517
Virginia,Oct  8 2022,590
Virginia,Oct  1 2022,521
Virginia,Sep 24 2022,617
Virginia,Sep 17 2022,704
Virginia,Sep 10 2022,786
Virginia,Sep  3 2022,820
Virginia,Aug 27 2022,862
Virginia,Aug 20 2022,912
Virginia,Aug 13 2022,947
Virginia,Aug  6 2022,926
Virginia,Jul 30 2022,917
Virginia,Jul 23 2022,834
Virginia,Jul 16 2022,833
Virginia,Jul  9 2022,741
Virginia,Jul  2 2022,702
Virginia,Jun 25 2022,664
Virginia,Jun 18 2022,700
Virginia,Jun 11 2022,712
Virginia,Jun  4 2022,644
Virginia,May 28 2022,607
Virginia,May 21 2022,571
Virginia,May 14 2022,439
Virginia,May  7 2022,357
Virginia,Apr 30 2022,233
Virginia,Apr 23 2022,256
Virginia,Apr 16 2022,173
Virginia,Apr  9 2022,176
Virginia,Apr  2 2022,231
Virginia,Mar 26 2022,232
Virginia,Mar 19 2022,329
Virginia,Mar 12 2022,366
Virginia,Mar  5 2022,514
Virginia,Feb 26 2022,811
Virginia,Feb 19 2022,1144
Virginia,Feb 12 2022,1531
Virginia,Feb  5 2022,2037
Virginia,Jan 29 2022,2636
Virginia,Jan 22 2022,3077
Virginia,Jan 15 2022,3337
Virginia,Jan  8 2022,3246
Virginia,Jan  1 2022,2268
Virginia,Dec 25 2021,1241
Virginia,Dec 18 2021,1107
Virginia,Dec 11 2021,1083
Virginia,Dec  4 2021,836
Virginia,Nov 27 2021,700
Virginia,Nov 20 2021,579
Virginia,Nov 13 2021,627
Virginia,Nov  6 2021,607
Virginia,Oct 30 2021,716
Virginia,Oct 23 2021,846
Virginia,Oct 16 2021,1026
Virginia,Oct  9 2021,1120
Virginia,Oct  2 2021,1293
Virginia,Sep 25 2021,1469
Virginia,Sep 18 2021,1547
Virginia,Sep 11 2021,1517
Virginia,Sep  4 2021,1387
Virginia,Aug 28 2021,1270
Virginia,Aug 21 2021,1025
Virginia,Aug 14 2021,900
Virginia,Aug  7 2021,587
